"","Arrest","Age","Sex","Race","ArrestDate","ArrestTime","ArrestLocation","IncidentOffense","IncidentLocation","Charge","ChargeDescription","District","Post","Neighborhood","Location.1"
"1",16160529,54,"M","B","11/12/2016","22:35","3500 PELHAM AVE","4ECOMMON ASSAULT","3500 PELHAM AVE","1 1415","COMMON ASSAULT","Northeastern",432,"Belair-Edison","(39.3208685519, -76.5652449141)"
"2",16160490,22,"M","B","11/12/2016","21:49","300 S LOUDON AVE","Unknown Offense","300 S LOUDON AVE","4 3550","POSSESSION","Southwestern",833,"Irvington","(39.2811486601, -76.6821278085)"
"3",16160487,31,"M","B","11/12/2016","21:40","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"4",16160485,31,"M","B","11/12/2016","20:30","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"5",16160481,33,"M","B","11/12/2016","19:45","","Unknown Offense","","2 0480","MOTOR VEH/UNLAWFUL TAKING","",NA,"",""
"6",16160461,39,"F","W","11/12/2016","17:50","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"7",16160451,54,"M","B","11/12/2016","16:30","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"8",16160447,39,"M","W","11/12/2016","16:30","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"9",16160449,46,"M","A","11/12/2016","15:37","1500 RUSSELL ST","Unknown Offense","1500 RUSSELL ST","2 2220","TRESPASSING","Southern",941,"Carroll - Camden Industrial Area","(39.2743782847, -76.6276296924)"
"10",16160438,20,"M","U","11/12/2016","15:30","500 N LAKEWOOD ST","4ECOMMON ASSAULT","500 N LAKEWOOD AVE","1 1415","COMMON ASSAULT","Southeastern",221,"McElderry Park","(39.2970007586, -76.5793864662)"
"11",16160445,22,"F","B","11/12/2016","15:30","","Unknown Offense","","1 1415","ASSAULT-SEC DEGREE","",NA,"",""
"12",16160424,41,"F","B","11/12/2016","14:20","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"13",16160419,22,"M","B","11/12/2016","13:55","5400 MAYVIEW AVE","4ECOMMON ASSAULT","5400 MAYVIEW AVE","1 1415","COMMON ASSAULT","Northeastern",444,"Frankford","(39.3330057857, -76.5459717682)"
"14",16160406,35,"M","W","11/12/2016","13:50","","Unknown Offense","","1 0621","THEFT: LESS $1,000 VALUE","",NA,"",""
"15",16160456,39,"M","B","11/12/2016","13:34","2800 PATAPSCO AVE","Unknown Offense","2800 W PATAPSCO AVE","1 0521","DESTRUCTION OF PROPERTY","Southern",923,"Lakeland","(39.2553025715, -76.6581366084)"
"16",16160436,31,"M","B","11/12/2016","13:00","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"17",16160431,31,"F","B","11/12/2016","12:45","","Unknown Offense","","1 0088","VIOLATION OF PROBATION","",NA,"",""
"18",16160403,21,"F","B","11/12/2016","12:17","","4ECOMMON ASSAULT","300 E MADISON ST","1 1415","ASSAULT-SEC DEGREE","",NA,"",""
"19",16160378,19,"M","B","11/12/2016","10:50","","Unknown Offense","","1 1420","ASSAULT-FIRST DEGREE","",NA,"",""
"20",16160400,27,"M","W","11/12/2016","10:49","3500 ANNAPOLIS RD","6CLARCENY- SHOPLIFTING","3300 ANNAPOLIS RD","1 0521","LARCENY","Southern",922,"Cherry Hill","(39.2472331057, -76.6402786910)"
"21",NA,20,"M","B","11/12/2016","10:37","600 N POTOMAC ST","Unknown Offense","","","Unknown Charge","Southeastern",224,"Ellwood Park/Monument","(39.2983827418, -76.5752206548)"
"22",16160408,22,"M","B","11/12/2016","10:25","500 ANNABEL AVE","Unknown Offense","400 FREEMAN ST","3 0233","CDS POSS.","Southern",913,"Brooklyn","(39.2378257831, -76.6031511582)"
"23",16160407,21,"F","B","11/12/2016","10:10","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"24",16160402,42,"M","B","11/12/2016","10:00","5400 FORCE RAMP","4ECOMMON ASSAULT","5400 FORCE RD","1 3802","ASSAULT","Northeastern",444,"Frankford","(39.3209437484, -76.5403523580)"
"25",NA,20,"M","B","11/12/2016","10:00","","Unknown Offense","","","Unknown Charge","",NA,"",""
"26",NA,20,"M","B","11/12/2016","10:00","","Unknown Offense","","","Unknown Charge","",NA,"",""
"27",16160383,24,"F","B","11/12/2016","10:00","","Unknown Offense","","2 3020","BURGLARY-THIRD DEGREE","",NA,"",""
"28",16160441,40,"M","B","11/12/2016","09:45","3700 W BELVEDERE AVE","Unknown Offense","4100 FAIRHAVEN AVE","4 3550","CDS","Northwestern",633,"Arlington","(39.3461805473, -76.6805089235)"
"29",16160377,23,"M","B","11/12/2016","09:30","2500 E E MONUMENT ST","Unknown Offense","2500 E MONUMENT ST","2A3550","DIST MARIJUANA","Eastern",323,"Milton-Montford","(39.2988707063, -76.5822449744)"
"30",16160398,26,"M","B","11/12/2016","09:30","1600 BALMOR CT","5ABURG. RES. (FORCE)","1600 BALMOR CT","2 3030","BURGLARY","Western",743,"Sandtown-Winchester","(39.3051228823, -76.6434072506)"
"31",NA,29,"M","W","11/12/2016","09:28","2600 E BIDDLE ST","Unknown Offense","","","Unknown Charge","Eastern",332,"Berea","(39.3048494822, -76.5807731082)"
"32",NA,19,"M","B","11/12/2016","09:15","","Unknown Offense","","","Unknown Charge","",NA,"",""
"33",NA,19,"M","B","11/12/2016","09:15","","Unknown Offense","","","Unknown Charge","",NA,"",""
"34",NA,19,"M","B","11/12/2016","09:15","","Unknown Offense","","","Unknown Charge","",NA,"",""
"35",NA,27,"M","B","11/12/2016","09:00","","Unknown Offense","","","Unknown Charge","",NA,"",""
"36",16160374,21,"M","B","11/12/2016","09:00","","Unknown Offense","","1 0356","RETALIATE-WITNESS MISDEMEANOR","",NA,"",""
"37",NA,32,"M","B","11/12/2016","08:10","","Unknown Offense","","","Unknown Charge","",NA,"",""
"38",16160390,29,"M","B","11/12/2016","05:45","1500 RUSSELL ST","Unknown Offense","1500 RUSSELL ST","3 4030","DESTRUCTION OF PROPERTY","Southern",941,"Carroll - Camden Industrial Area","(39.2743782847, -76.6276296924)"
"39",16160376,36,"F","B","11/12/2016","05:33","5100 BELAIR RD","Unknown Offense","6200 BELAIR RD","1 1609","HANDGUN VIOLATION","Northeastern",426,"Waltherson","(39.3362315520, -76.5544204884)"
"40",16160379,27,"M","I","11/12/2016","05:33","5100 BELAIR RD","Unknown Offense","6200 BELAIR RD","1 1609","HGV","Northeastern",426,"Waltherson","(39.3362315520, -76.5544204884)"
"41",16160342,22,"M","B","11/12/2016","05:00","","Unknown Offense","","2 0700","ROBBERY","",NA,"",""
"42",16160348,50,"M","W","11/12/2016","04:55","3900 6TH ST","Unknown Offense","3900 6TH ST","2 0254","VIOLATION OF PROTECTION ORDER","Southern",913,"Brooklyn","(39.2331826797, -76.6039602183)"
"43",16160337,36,"M","B","11/12/2016","04:55","1500 RUSSELL ST","Unknown Offense","1500 RUSSELL ST","1 1415","ASSAULT","Southern",941,"Carroll - Camden Industrial Area","(39.2743782847, -76.6276296924)"
"44",16160346,26,"F","B","11/12/2016","04:00","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"45",16160334,23,"M","B","11/11/2016","23:28","600 E 33RD STREET ST","3CKROBB COMM-KNIFE","600 E 33RD ST","1 1415","ATTEMPTED ARMED ROBBERY","Northern",543,"Waverly","(39.3285208911, -76.6081206343)"
"46",16160331,33,"M","W","11/11/2016","23:28","600 E 33RD ST","3CKROBB COMM-KNIFE","600 E 33RD ST","1 1415","ATT. ARMED ROBBERY","Northern",543,"Waverly","(39.3285208911, -76.6081206343)"
"47",16160318,34,"M","B","11/11/2016","23:00","2300 SIDNEY AVE","4ECOMMON ASSAULT","2300 SIDNEY AVE","1 1415","COMMON ASSAULT","Southern",921,"Westport","(39.2625980889, -76.6332719994)"
"48",16160315,23,"M","B","11/11/2016","22:10","200 N CAROLINE ST","Unknown Offense","200 N CAROLINE ST","4 3550","CDS POSSESSION","Southeastern",212,"Dunbar-Broadway","(39.2943391418, -76.5973823524)"
"49",16160319,34,"M","W","11/11/2016","22:00","","Unknown Offense","","2 0705","ARMED ROBBERY","",NA,"",""
"50",16160289,49,"M","B","11/11/2016","21:35","3000 E NORTHERN PKWY","4ECOMMON ASSAULT","3000 E NORTHERN PKWY","1 1415","ASSAULT SECOND DEGREE","Northeastern",424,"North Harford Road","(39.3633873668, -76.5517575512)"
"51",16160303,39,"M","B","11/11/2016","21:10","6100 HOLABIRD AVE","Unknown Offense","6100 HOLABIRD AVE","1 0233","CDS","Southeastern",243,"Broening Manor","(39.2721356698, -76.5430282136)"
"52",16160302,37,"M","B","11/11/2016","21:10","6100 HOLABIRD AVE","Unknown Offense","6100 HOLABIRD AVE","3 0233","CDS","Southeastern",243,"Broening Manor","(39.2721356698, -76.5430282136)"
"53",16160311,20,"M","B","11/11/2016","20:50","4100 HYDEN CT","4AAGG. ASSLT.- GUN","800 GLADE CT","1 5299","AGGRAVATED ASSAULT","Southern",913,"Brooklyn","(39.2291207722, -76.5973960745)"
